ID,Categoria,Subcategoria,Actividad,Objetivo
112,M.2. Mining and metallurgical production for climate action,M.2.2. Metallurgical production for climate action.,M.2.2.1. Projects that support the production of metals or alloys that are frequently used or critical for renewable energy; technologies that increase energy efficiency; or other low-carbon technologies or materials and products with low GHG emissions.,M. Climate change mitigation
113,M.3. Manufacturing,"M.3.1. Energy and carbon efficiency. Sustainable Blue Economy: Classifies when energy efficiency is improved in infrastructure and economic sectors associated with the coastal zone and/or the sea (i.e., ports, etc.).",M.3.1.1. Improvement of energy efficiency in existing facilities.,M. Climate change mitigation
114,M.3. Manufacturing,"M.3.1. Energy and carbon efficiency. Sustainable Blue Economy: Classifies when energy efficiency is improved in infrastructure and economic sectors associated with the coastal zone and/or the sea (i.e., ports, etc.).",M.3.1.2. New highly efficient or low-carbon manufacturing facilities; or equipment or production lines in existing industries.,M. Climate change mitigation
115,M.3. Manufacturing,"M.3.1. Energy and carbon efficiency. Sustainable Blue Economy: Classifies when energy efficiency is improved in infrastructure and economic sectors associated with the coastal zone and/or the sea (i.e., ports, etc.).","M.3.1.3. Modernization of existing industrial infrastructure to avoid industrial GHGs, switch to industrial GHGs with lower global warming potential, or implement technologies or practices that minimize GHG leaks.",M. Climate change mitigation
116,M.3. Manufacturing,"M.3.1. Energy and carbon efficiency. Sustainable Blue Economy: Classifies when energy efficiency is improved in infrastructure and economic sectors associated with the coastal zone and/or the sea (i.e., ports, etc.).","M.3.1.4. Improvements in existing industrial processes, new processes, or advanced manufacturing technology solutions that lead to a reduction in consumption or a reduction in non-energy resource waste through changes in processes or process inputs.",M. Climate change mitigation
117,M.3. Manufacturing,M.3.2. Low-carbon energy generation.,"M.3.2.1. Conversion of existing single-energy systems to combined generation or supply systems for the use of electricity, heat, mechanical energy, cooling, or desalination.",M. Climate change mitigation
118,M.3. Manufacturing,M.3.2. Low-carbon energy generation.,M.3.2.2. Production or use of low-carbon hydrogen.,M. Climate change mitigation
119,M.3. Manufacturing,M.3.2. Low-carbon energy generation.,"M.3.2.3. Use of waste gases as raw material or fuel to supply electricity, heat, mechanical energy, or cooling.",M. Climate change mitigation
120,M.3. Manufacturing,M.3.3. Electrification.,M.3.3.1. Replacement of fossil fuel-based equipment or processes with electric alternatives in existing industrial facilities. Sustainable Blue Economy: Classified when it demonstrably contributes to reducing the impact of fossil fuels on marine ecosystems.,M. Climate change mitigation
121,M.3. Manufacturing,M.3.4. Energy storage.,M.3.4.1. Energy storage or smart solutions on an industrial scale to increase the integration of low-carbon energy or the use of previously wasted energy.,M. Climate change mitigation
122,M.3. Manufacturing,M.3.5. Support for low-carbon development.,"M.3.5.1. Projects that support the production of components, equipment, or infrastructure dedicated exclusively to the use of renewable energy, improving energy efficiency, or other low-carbon technologies.",M. Climate change mitigation
123,"M.4. Agriculture, forestry, land use, and fisheries","M.4.1. Agriculture: energy efficiency, carbon sequestration, reduction of GHG emissions.",M.4.1.1. Reduction of energy consumption in operations.,M. Climate change mitigation
124,"M.4. Agriculture, forestry, land use, and fisheries","M.4.1. Agriculture: energy efficiency, carbon sequestration, reduction of GHG emissions.",M.4.1.2. Agricultural projects that contribute to increasing soil carbon stocks or preventing soil carbon loss through erosion control measures.,M. Climate change mitigation
125,"M.4. Agriculture, forestry, land use, and fisheries","M.4.1. Agriculture: energy efficiency, carbon sequestration, reduction of GHG emissions.",M.4.1.3. Reduction of non-CO2 greenhouse gas emissions from agricultural practices or technologies.,M. Climate change mitigation
126,"M.4. Agriculture, forestry, land use, and fisheries","M.4.2. Livestock: reduction of GHG emissions, carbon sequestration.",M.4.2.1. Projects that reduce methane or other GHG emissions from livestock farming.,M. Climate change mitigation
127,"M.4. Agriculture, forestry, land use, and fisheries","M.4.2. Livestock: reduction of GHG emissions, carbon sequestration.",M.4.2.2. Livestock projects that improve carbon sequestration through pasture management.,M. Climate change mitigation
128,"M.4. Agriculture, forestry, land use, and fisheries",M.4.3. Forestry: reduction of GHG emissions and carbon sequestration.,"M.4.3.1. Forestry or agroforestry projects that sequester carbon through sustainable forest management, avoiding deforestation or land degradation.",M. Climate change mitigation
129,"M.4. Agriculture, forestry, land use, and fisheries",M.4.4. Marine and other aquatic habitats: reduction of GHG emissions. Sustainable Blue Economy: Classify projects that involve marine-coastal habitats or ecosystems.,M.4.4.1. Projects that reduce GHG emissions from the degradation of marine ecosystems or other aquatic ecosystems.,M. Climate change mitigation
130,"M.4. Agriculture, forestry, land use, and fisheries","M.4.5. Fisheries and aquaculture: reduction of GHG emissions. Sustainable Blue Economy: Classify projects involving fishing or mariculture located in the sea, coastal lagoons, estuaries, or marshes.",M.4.5.1. Projects that reduce CO2e intensity in fishing or aquaculture.,M. Climate change mitigation
131,"M.4. Agriculture, forestry, land use, and fisheries",M.4.6. Food and diet: resource efficiency.,"M.4.6.1. Projects that reduce food loss or waste, or promote low-carbon diets.",M. Climate change mitigation
132,"M.4. Agriculture, forestry, land use, and fisheries",M.4.7. GHG reduction through the production of biomaterials.,M.4.7.1. Projects that contribute to the reduction of GHG emissions through the production of biomaterials/bioenergy from biomass.,M. Climate change mitigation
133,M.5. Water supply and wastewater management,"M.5.1. Water supply: GHG emissions reduction, energy efficiency, and demand management.",M.5.1.1. Improving energy efficiency in existing water supply systems through the deployment of low-energy technologies or equipment; the promotion of best audit practices; or the reduction of water losses.,M. Climate change mitigation
134,M.5. Water supply and wastewater management,"M.5.1. Water supply: GHG emissions reduction, energy efficiency, and demand management.",M.5.1.2. New or existing low-carbon water supply projects that replace the use of cisterns or rudimentary water collection mechanisms with a piped water supply service system.,M. Climate change mitigation
135,M.5. Water supply and wastewater management,"M.5.1. Water supply: GHG emissions reduction, energy efficiency, and demand management.",M.5.1.3. New water supply projects that meet high energy efficiency standards or make use of demand management.,M. Climate change mitigation
136,M.5. Water supply and wastewater management,"M.5.1. Water supply: GHG emissions reduction, energy efficiency, and demand management.","M.5.1.4. Water supply projects in new or existing areas that promote better operation and maintenance to reduce water losses, encourage energy savings, or meet or exceed wastewater treatment targets.",M. Climate change mitigation
137,M.5. Water supply and wastewater management,"M.5.2. Wastewater management: GHG emissions reduction, energy efficiency, and demand management.","M.5.2.1. New projects that reduce methane or nitrous oxide emissions through the collection and treatment of wastewater, manure, or septic waste.",M. Climate change mitigation
138,M.5. Water supply and wastewater management,"M.5.2. Wastewater management: GHG emissions reduction, energy efficiency, and demand management.",M.5.2.2. Wastewater projects in existing facilities that reduce emissions through improvements in energy efficiency or treatment targets.,M. Climate change mitigation
139,M.5. Water supply and wastewater management,"M.5.2. Wastewater management: GHG emissions reduction, energy efficiency, and demand management.","M.5.2.3. Projects to improve latrines or collect wastewater, manure, or septic waste in new or existing facilities.",M. Climate change mitigation
140,M.5. Water supply and wastewater management,M.5.3. Efficient use of wastewater.,M.5.3.1. Reuse of wastewater.,M. Climate change mitigation
141,M.6. Solid waste handling and management,"M.6.1. Waste collection, transport, storage, and transfer.",M.6.1.1. Selective collection and transport of waste fractions segregated at source.,M. Climate change mitigation
142,M.6. Solid waste handling and management,"M.6.1. Waste collection, transport, storage, and transfer.","M.6.1.2. Temporary storage, volume increase, or transfer of waste fractions collected separately and segregated at source.",M. Climate change mitigation
143,M.6. Solid waste handling and management,M.6.2. Reuse of products and recovery of materials from solid waste.,M.6.2.1. Repair and reconditioning of products or product components to enable their reuse.,M. Climate change mitigation
144,M.6. Solid waste handling and management,M.6.2. Reuse of products and recovery of materials from solid waste.,M.6.2.2. Recovery of materials from selectively collected waste through mechanical processes.,M. Climate change mitigation
145,M.6. Solid waste handling and management,M.6.2. Reuse of products and recovery of materials from solid waste.,M.6.2.3. Recovery of materials from selectively collected or pre-sorted waste using non-mechanical processes.,M. Climate change mitigation
146,M.6. Solid waste handling and management,M.6.3. Recovery and valorization of biowaste.,M.6.3.1. Anaerobic digestion of selectively collected biowaste.,M. Climate change mitigation
147,M.6. Solid waste handling and management,M.6.3. Recovery and valorization of biowaste.,M.6.3.2. Composting of selectively collected biowaste.,M. Climate change mitigation
148,M.6. Solid waste handling and management,M.6.3. Recovery and valorization of biowaste.,M.6.3.3. Other types of recovery and valorization of biowaste.,M. Climate change mitigation
149,M.6. Solid waste handling and management,M.6.4. Treatment of mixed waste.,M.6.4.1. Mechanical or biological treatment of mixed waste.,M. Climate change mitigation
150,M.6. Solid waste handling and management,M.6.4. Treatment of mixed waste.,"M.6.4.2. Incineration of waste with energy recovery (conversion of waste into energy) from mixed residual waste, RDF (Refuse Derived Fuel), or SRF (Solid Recovered Fuel).",M. Climate change mitigation
151,M.6. Solid waste handling and management,"M.6.5. Capture, reduction, and utilization of landfill/dump gases.","M.6.5.1. Capture, reduction, or utilization of landfill gas as part of the closure of former landfills, landfill cells, or dumps.",M. Climate change mitigation
152,M.6. Solid waste handling and management,"M.6.5. Capture, reduction, and utilization of landfill/dump gases.","M.6.5.2. Capture, reduction, or utilization of landfill gas in new landfills or existing landfill cells.",M. Climate change mitigation
153,M.6. Solid waste handling and management,M.6.6. Energy efficiency.,M.6.6.1. Projects in existing facilities aimed at improving energy efficiency in waste management facilities.,M. Climate change mitigation
154,M.7. Transportation,M.7.1. Urban and rural transport.,M.7.1.1. Urban and rural public transport projects.,M. Climate change mitigation
155,M.7. Transportation,M.7.1. Urban and rural transport.,M.7.1.2. Non-motorized transport (NMT) or bicycle sharing systems.,M. Climate change mitigation
156,M.7. Transportation,M.7.2. Low-carbon interurban transport.,M.7.2.1. Interurban rail projects for freight or passengers.,M. Climate change mitigation
157,M.7. Transportation,M.7.2. Low-carbon interurban transport.,M.7.2.2. Public passenger transport or bus.,M. Climate change mitigation
158,M.7. Transportation,"M.7.3. Low-carbon vehicles and fuel, and demand management.",M.7.3.1. Passenger or freight fleets or associated infrastructure with zero or low direct emissions.,M. Climate change mitigation
159,M.7. Transportation,"M.7.3. Low-carbon vehicles and fuel, and demand management.",M.7.3.2. Transport operations using biofuels or synthetic fuels with low GHG emissions in their life cycle.,M. Climate change mitigation
160,M.7. Transportation,"M.7.3. Low-carbon vehicles and fuel, and demand management.",M.7.3.3. Transport demand management policy or associated intelligent transport systems (ITS).,M. Climate change mitigation
161,M.7. Transportation,"M.7.3. Low-carbon vehicles and fuel, and demand management.",M.7.3.4. Use of waste gases as fuel for transport.,M. Climate change mitigation
162,M.7. Transportation,"M.7.4. Water transport: low-carbon mode and efficiency improvement. Sustainable Blue Economy: Classifies when the activity reduces emissions and pollutants, improves energy efficiency, and preserves marine ecosystems.","M.7.4.1. Water transport projects for cargo or passengers, or efficiency improvements.",M. Climate change mitigation
163,M.7. Transportation,"M.7.5. Aviation and water transport efficiency and renewable energies. Sustainable Blue Economy: Classifies when the activity reduces emissions and pollutants, improves energy efficiency, and preserves marine ecosystems.",M.7.5.1. Efficient air and water traffic management.,M. Climate change mitigation
164,M.7. Transportation,"M.7.5. Aviation and water transport efficiency and renewable energies. Sustainable Blue Economy: Classifies when the activity reduces emissions and pollutants, improves energy efficiency, and preserves marine ecosystems.",M.7.5.2. Efficient port system operations (air and water) or on-site renewable energy generation.,M. Climate change mitigation
165,M.8. End-use energy efficiency in buildings or equipment,"M.8.1. Energy efficiency, renewable energy, reduction of CO2e emissions, and carbon sinks in buildings and public spaces.","M.8.1.1. Measures that reduce net energy consumption, resource consumption, or CO2e emissions, or that increase plant-based carbon sinks in new or existing buildings or associated land.",M. Climate change mitigation
166,M.8. End-use energy efficiency in buildings or equipment,"M.8.1. Energy efficiency, renewable energy, reduction of CO2e emissions, and carbon sinks in buildings and public spaces.","M.8.1.2. Measures that reduce net energy consumption, resource consumption, or CO2e emissions, or measures that increase plant-based carbon sinks in new or modernized buildings and associated land, enabling compliance with certification standards.",M. Climate change mitigation
167,M.8. End-use energy efficiency in buildings or equipment,"M.8.1. Energy efficiency, renewable energy, reduction of CO2e emissions, and carbon sinks in buildings and public spaces.","M.8.1.3. Measures that reduce net energy consumption, resource consumption, or CO2e emissions, or that increase carbon sinks of plant origin in public areas or facilities.",M. Climate change mitigation
168,M.8. End-use energy efficiency in buildings or equipment,M.8.2. End-use energy efficiency in equipment.,M.8.2.1. Improvement of energy efficiency in existing facilities or reduction of CO2e emissions in existing appliances or equipment.,M. Climate change mitigation
169,M.8. End-use energy efficiency in buildings or equipment,M.8.2. End-use energy efficiency in equipment.,M.8.2.2. New equipment or replacement with high energy efficiency equipment.,M. Climate change mitigation
170,M.9. Information and Communications Technology (ICT) and digital technologies,"M.9.1. Energy efficiency, renewable energies, and reduction of CO2e emissions.","M.9.1.1. Improving energy efficiency, implementing renewable energy, or reducing CO2e emissions in existing data centers.",M. Climate change mitigation
171,M.9. Information and Communications Technology (ICT) and digital technologies,"M.9.1. Energy efficiency, renewable energies, and reduction of CO2e emissions.",M.9.1.2. Completely new data centers that comply with international best practices in energy efficiency or that are largely powered by on-site renewable energy generation.,M. Climate change mitigation
172,M.9. Information and Communications Technology (ICT) and digital technologies,"M.9.1. Energy efficiency, renewable energies, and reduction of CO2e emissions.",M.9.1.3. Telecommunications networks with energy efficiency levels that comply with international best practices.,M. Climate change mitigation
173,"M.10. Research, development, and innovation","M.10.1. Research, development, and innovation. Sustainable Blue Economy: Classify when it involves research, development, or innovation involving marine-coastal resources.","M.10.1.1. Research or development of renewable energies, energy efficiency improvements, low-carbon technologies, or other technologies instrumental to achieving total decarbonization.",M. Climate change mitigation
174,M.11. Cross-sectoral activities,M.11.1. Energy and resource efficiency.,"M.11.1.1. An activity that reduces energy or material use throughout a supply chain (upstream or downstream) through improvements in energy efficiency or resource efficiency in the existing supply chain, by switching to a less carbon-intensive supply chain, or by implementing circular economy systems.",M. Climate change mitigation
175,M.11. Cross-sectoral activities,M.11.2. Demand reduction.,M.11.2.1. An activity aimed at demand management.,M. Climate change mitigation
176,M.11. Cross-sectoral activities,M.11.3. Electronic service delivery.,"M.11.3.1. Digitization of service delivery or internal operations, resulting in a substantial reduction in travel or the use of materials and raw materials.",M. Climate change mitigation
177,M.11. Cross-sectoral activities,M.11.4. Energy transition.,"M.11.4.1. Direct financing, policy actions, programs, or technical assistance to support the closure of fossil fuel plants or other activities involving the extraction, processing, or transportation of fossil fuels, including support for workers or communities affected by such closure.",M. Climate change mitigation
178,M.11. Cross-sectoral activities,M.11.5. GHG emissions reduction.,"M.11.5.1. Transport, use, or permanent storage of captured CO2.",M. Climate change mitigation
179,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.","M.11.6.1. National, subnational, or territorial cross-sectoral policy actions aimed at leading to climate change mitigation actions or technical support for such actions.",M. Climate change mitigation
180,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.","M.11.6.2. Policy actions, programs, or technical assistance to establish stricter energy efficiency or resource use standards or stricter enforcement of efficiency standards.",M. Climate change mitigation
181,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.",M.11.6.3. Transparency systems or tools for monitoring GHG emissions.,M. Climate change mitigation
182,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.",M.11.6.4. Energy audits aimed at identifying opportunities to increase energy efficiency or on-site renewable energy generation.,M. Climate change mitigation
183,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.","M.11.6.5. Policy actions, programs, or technical assistance to establish tax incentives to increase investment in or implementation of low-carbon technologies and measures.",M. Climate change mitigation
184,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.","M.11.6.6. Policy actions, programs, or technical assistance aimed at carbon pricing or other payments with equivalent effects. ",M. Climate change mitigation
185,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.","M.11.6.7. Policy actions, programs, or technical assistance to reduce unplanned low-density urban development or promote densification, leading to the avoidance of long-term lock-in of a built environment with higher carbon emissions.",M. Climate change mitigation
186,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.","M.11.6.8. Education, training, capacity building, or awareness raising focused on climate change mitigation.",M. Climate change mitigation
187,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.",M.11.6.9. Programs or systems that provide incentives or tools to units or teams within entities to manage and minimize GHG emissions and contribute to the entity's decarbonization goals.,M. Climate change mitigation
188,M.11. Cross-sectoral activities,"M.11.6. Policy support, technical assistance, capacity building, and information dissemination.",M.11.6.10. Coordination of climate action or decarbonization plans at the entity level.,M. Climate change mitigation
189,M.11. Cross-sectoral activities,M.11.7. Support for climate change mitigation.,M.11.7.1. Technical services necessary to develop or implement financing projects for climate change mitigation.,M. Climate change mitigation
190,M.11. Cross-sectoral activities,M.11.7. Support for climate change mitigation.,"M.11.7.2. Services, financial instruments, or carbon trading, including blue carbon.",M. Climate change mitigation
